コード	前	後
JP-PRTR-C1-169	Ｎ・Ｎ―ジエチル―三―（二・四・六―トリメチルフェニルスルホニル）―一Ｈ―一・二・四―トリアゾール―一―カルボキサミド（別名カフェンストロール）	Ｎ，Ｎ－ジエチル－３－（２，４，６－トリメチルフェニルスルホニル）－１Ｈ－１，２，４－トリアゾール－１－カルボキサミド（別名カフェンストロール）
JP-PRTR-C1-172	一・四―ジオキサシクロヘプタデカン―五・一七―ジオン	１，４－ジオキサシクロヘプタデカン－５，１７－ジオン
JP-PRTR-C1-173	一・四―ジオキサン	１，４－ジオキサン
JP-PRTR-C1-174	一・三―ジカルバモイルチオ―二―（Ｎ・Ｎ―ジメチルアミノ）―プロパン（別名カルタップ）	１，３－ジカルバモイルチオ－２－（Ｎ，Ｎ－ジメチルアミノ）－プロパン（別名カルタップ）
JP-PRTR-C1-175	シクロヘキサ―一―エン―一・二―ジカルボキシイミドメチル＝（一ＲＳ）―シス―トランス―二・二―ジメチル―三―（二―メチルプロパ―一―エニル）シクロプロパンカルボキシラート（別名テトラメトリン）	シクロヘキサ－１－エン－１，２－ジカルボキシイミドメチル＝（１ＲＳ）－シス－トランス－２，２－ジメチル－３－（２－メチルプロパ－１－エニル）シクロプロパンカルボキシラート（別名テトラメトリン）
JP-PRTR-C1-181	一・二―ジクロロエタン	１，２－ジクロロエタン
JP-PRTR-C1-182	一・一―ジクロロエチレン（別名塩化ビニリデン）	１，１－ジクロロエチレン（別名塩化ビニリデン）
JP-PRTR-C1-183	一・二―ジクロロエチレン	１，２－ジクロロエチレン
JP-PRTR-C1-184	四・五―ジクロロ―二―オクチルイソチアゾール―三（二Ｈ）―オン	４，５－ジクロロ－２－オクチルイソチアゾール－３（２Ｈ）－オン
JP-PRTR-C1-185	三・四―ジクロロ―二′―シアノ―一・二―チアゾール―五―カルボキサニリド（別名イソチアニル）	３，４－ジクロロ－２’－シアノ－１，２－チアゾール－５－カルボキサニリド（別名イソチアニル）
JP-PRTR-C1-186	三・三′―ジクロロ―四・四′―ジアミノジフェニルメタン	３，３’－ジクロロ－４，４’－ジアミノジフェニルメタン
JP-PRTR-C1-187	ジクロロジフルオロメタン（別名ＣＦＣ―一二）	ジクロロジフルオロメタン（別名ＣＦＣ－１２）
JP-PRTR-C1-188	三・五―ジクロロ―Ｎ―（一・一―ジメチル―二―プロピニル）ベンズアミド（別名プロピザミド）	３，５－ジクロロ－Ｎ－（１，１－ジメチル－２－プロピニル）ベンズアミド（別名プロピザミド）
JP-PRTR-C1-189	ジクロロテトラフルオロエタン（別名ＣＦＣ―一一四）	ジクロロテトラフルオロエタン（別名ＣＦＣ－１１４）
JP-PRTR-C1-190	二・二―ジクロロ―一・一・一―トリフルオロエタン（別名ＨＣＦＣ―一二三）	２，２－ジクロロ－１，１，１－トリフルオロエタン（別名ＨＣＦＣ－１２３）
JP-PRTR-C1-191	二′・四―ジクロロ―アルファ・アルファ・アルファ―トリフルオロ―四′―ニトロ―メタ―トルエンスルホンアニリド（別名フルスルファミド）	２’・４－ジクロロ－アルファ・アルファ・アルファ－トリフルオロ－４’－ニトロ－メタ－トルエンスルホンアニリド（別名フルスルファミド）
JP-PRTR-C1-192	Ｏ―（二・六―ジクロロ―パラ―トリル）＝Ｏ・Ｏ―ジメチル＝ホスホロチオアート（別名トルクロホスメチル）	Ｏ－（２，６－ジクロロ－パラ－トリル）＝Ｏ，Ｏ－ジメチル＝ホスホロチオアート（別名トルクロホスメチル）
JP-PRTR-C1-193	二―［四―（二・四―ジクロロ―メタ―トルオイル）―一・三―ジメチル―五―ピラゾリルオキシ］―四―メチルアセトフェノン（別名ベンゾフェナップ）	２－［４－（２，４－ジクロロ－メタ－トルオイル）－１．３－ジメチル－５－ピラゾリルオキシ］－４－メチルアセトフェノン（別名ベンゾフェナップ）
JP-PRTR-C1-194	三―（三・五―ジクロロフェニル）―Ｎ―イソプロピル―二・四―ジオキソイミダゾリジン―一―カルボキサミド（別名イプロジオン）	３－（３，５－ジクロロフェニル）－Ｎ－イソプロピル－２，４－ジオキソイミダゾリジン－１－カルボキサミド（別名イプロジオン）
JP-PRTR-C1-195	一―（二・四―ジクロロフェニル）―Ｎ―（二・四―ジフルオロフェニル）―Ｎ―イソプロピル―五―オキソ―四・五―ジヒドロ―一Ｈ―一・二・四―トリアゾール―四―カルボキサミド（別名イプフェンカルバゾン）	１－（２，４－ジクロロフェニル）－Ｎ－（２，４－ジフルオロフェニル）－Ｎ－イソプロピル－５－オキソ－４，５－ジヒドロ－１Ｈ－１，２，４－トリアゾール－４－カルボキサミド（別名イプフェンカルバゾン）
JP-PRTR-C1-196	Ｎ―（三・五―ジクロロフェニル）―一・二―ジメチルシクロプロパン―一・二―ジカルボキシミド（別名プロシミドン）	Ｎ－（３，５－ジクロロフェニル）－１，２－ジメチルシクロプロパン－１，２－ジカルボキシミド（別名プロシミドン）
JP-PRTR-C1-197	三―（三・四―ジクロロフェニル）―一・一―ジメチル尿素（別名ジウロン又はＤＣＭＵ）	３－（３，４－ジクロロフェニル）－１，１－ジメチル尿素（別名ジウロン又はＤＣＭＵ）
JP-PRTR-C1-198	（二ＲＳ・四ＲＳ）―一―［二―（二・四―ジクロロフェニル）―四―プロピル―一・三―ジオキソラン―二―イルメチル］―一Ｈ―一・二・四―トリアゾール及び（二ＲＳ・四ＳＲ）―一―［二―（二・四―ジクロロフェニル）―四―プロピル―一・三―ジオキソラン―二―イルメチル］―一Ｈ―一・二・四―トリアゾールの混合物（別名プロピコナゾール）	（２ＲＳ，４ＲＳ）－１－［２－（２，４－ジクロロフェニル）－４－プロピル－１．３－ジオキソラン－２－イルメチル］－１Ｈ－１，２，４－トリアゾール及び（２ＲＳ，４ＳＲ）－１－［２－（２，４－ジクロロフェニル）－４－プロピル－１．３－ジオキソラン－２－イルメチル］－１Ｈ－１，２，４－トリアゾールの混合物（別名プロピコナゾール）
JP-PRTR-C1-199	三―［一―（三・五―ジクロロフェニル）―一―メチルエチル］―三・四―ジヒドロ―六―メチル―五―フェニル―二Ｈ―一・三―オキサジン―四―オン（別名オキサジクロメホン）	３－［１－（３，５－ジクロロフェニル）－１－メチルエチル］－３，４－ジヒドロ－６－メチル－５－フェニル－２Ｈ－１，３－オキサジン－４－オン（別名オキサジクロメホン）
JP-PRTR-C1-200	三―（三・四―ジクロロフェニル）―一―メトキシ―一―メチル尿素（別名リニュロン）	３－（３，４－ジクロロフェニル）－１－メトキシ－１－メチル尿素（別名リニュロン）
JP-PRTR-C1-201	二・四―ジクロロフェノキシ酢酸（別名二・四―Ｄ又は二・四―ＰＡ）	２，４－ジクロロフェノキシ酢酸（別名２，４－Ｄ又は２，４－ＰＡ）
JP-PRTR-C1-202	一・一―ジクロロ―一―フルオロエタン（別名ＨＣＦＣ―一四一ｂ）	１，１－ジクロロ－１－フルオロエタン（別名ＨＣＦＣ－１４１ｂ）
JP-PRTR-C1-203	二・三―ジクロロ―Ｎ―四―フルオロフェニルマレイミド（別名フルオルイミド）	２，３－ジクロロ－Ｎ－４－フルオロフェニルマレイミド（別名フルオルイミド）
JP-PRTR-C1-204	ジクロロフルオロメタン（別名ＨＣＦＣ―二一）	ジクロロフルオロメタン（別名ＨＣＦＣ－２１）
JP-PRTR-C1-205	一・三―ジクロロ―二―プロパノール	１，３－ジクロロ－２－プロパノール
JP-PRTR-C1-206	一・二―ジクロロプロパン	１，２－ジクロロプロパン
JP-PRTR-C1-207	一・三―ジクロロプロペン（別名Ｄ―Ｄ）	１，３－ジクロロプロペン（別名Ｄ－Ｄ）
JP-PRTR-C1-209	二―［四―（二・四―ジクロロベンゾイル）―一・三―ジメチル―五―ピラゾリルオキシ］アセトフェノン（別名ピラゾキシフェン）	２－［４－（２，４－ジクロロベンゾイル）－１．３－ジメチル－５－ピラゾリルオキシ］アセトフェノン（別名ピラゾキシフェン）
JP-PRTR-C1-210	四―（二・四―ジクロロベンゾイル）―一・三―ジメチル―五―ピラゾリル＝四―トルエンスルホナート（別名ピラゾレート）	４－（２，４－ジクロロベンゾイル）－１，３－ジメチル－５－ピラゾリル＝４－トルエンスルホナート（別名ピラゾレート）
JP-PRTR-C1-211	二・六―ジクロロベンゾニトリル（別名ジクロベニル又はＤＢＮ）	２，６－ジクロロベンゾニトリル（別名ジクロベニル又はＤＢＮ）
JP-PRTR-C1-212	ジクロロペンタフルオロプロパン（別名ＨＣＦＣ―二二五）	ジクロロペンタフルオロプロパン（別名ＨＣＦＣ－２２５）
