100-20-9	テレフタル酸クロライド	1,4-Benzenedicarbonyl dichloride
10102-12-2		Nitrogen selenide
10102-18-8	亜セレン酸ナトリウム	Sodium selenite
10102-23-5	セレン酸ナトリウム十水和物	Selenic acid, disodium salt, decahydrate
10102-36-0		Sodium permanganate trihydrate
10102-43-9	一酸化窒素	Nitrogen monoxide
10102-45-1	硝酸タリウム	Thallium(I) nitrate
10102-48-4	ヒ酸鉛（ＩＶ）（２：３）	Arsenic acid (H3AsO4), lead(4+) salt (3:2)
10102-49-5	ヒ酸鉄	Arsenic acid, iron(3+) salt (1:1)
10102-50-8	ヒ酸第一鉄	Arsenic acid, iron(2+) salt (2:3)
10102-53-1	ヒ酸	Arsenenic acid
10102-71-3		Sulfuric acid, aluminum sodium salt (2:1:1)
10102-90-6	二リン酸銅	Diphosphoric acid, copper salt
101027-12-7		Bisphenol A epichlorohydrin polymer
101027-48-9		Acetic acid, mercapto-, 1,2-ethanediyl ester
10103-26-1		Strychnidin-10-one, phosphonite (1:1)
10103-48-7	リン酸銅	Phosphoric acid, copper salt
10103-50-1	ヒ酸マグネシウム	Arsenic acid (H3AsO4), magnesium salt (1:?)
10103-60-3	ヒ酸ナトリウム	Arsenic acid (H3AsO4), monosodium salt
10103-61-4	ヒ酸銅	Arsenic acid (H3AsO4), copper salt (1:?)
10103-62-5	ヒ酸カルシウム	Arsenic acid (H3AsO4), calcium salt (1:?)
101032-99-9		Chlorozinc(1+) 2,2-difluoroethen-1-ide
101033-43-6		Tricopper(1+) hydrogen hexakis(cyano-c)ferrate(4-), compound with ethyl o-[6-(ethylamino)-3-(ethylimino)-2,7-dimethyl-3H-xanthen-9-yl]benzoate (1:1)
101043-98-5		(4-Acetyloxyphenyl)-chloromercury
101062-40-2	酸化バリウムモリブデン(Ba3Mo2O9)	Barium molybdenum oxide (Ba3Mo2O9)
1010713-71-9		Aluminum, 1-[2-[2-chloro-5-(trifluoromethyl)phenyl]diazenyl]-3-[[[2,5-dichloro-4-[[[4-[2-[2-chloro-5-(trifluoromethyl)phenyl]diazenyl]-3-hydroxy-2-naphthalenyl]carbonyl]amino]phenyl]amino]carbonyl]-2-hydroxynaphthalenesulfonate complexes
1010713-90-2		Aluminum, 2,2'-[(2,5-dichloro-1,4-phenylene)bis(iminocarbonyl)]bis[4-[2-[2-chloro-5-(trifluoromethyl)phenyl]diazenyl]-3-hydroxynaphthalenesulfonate] complexes
10108-64-2	塩化カドミウム	Cadmium chloride
1010820-65-1		Glutamic acid, N,N-diacetic acid, zinc ammonium sodium complex
10112-91-1	塩化第一水銀	Mercury chloride (Hg2Cl2)
10112-94-4	セレン酸水素ナトリウム	Selenic acid (H2SeO4) monosodium salt
1011245-20-7		Aluminum oxide
10113-34-5	ビス（アセチルオキシ）（ジベンジル）スタンナン	Diacetoxydibenzylstannane
1011477-51-2		Bis(N-t-butyl-N'-ethylpropanimidamidato)cobalt(II)
1011514-41-2		Bis(ethylmethylamido)silane
10118-76-0	過マンガン酸カルシウム	Calcium permanganate
10119-30-9		Sodium dichloro-s-triazinetrione
101200-57-1		Thianthrenium, 5-[4-(phenylthio)phenyl]-, (OC-6-11)-hexafluoroantimonate(1-)
101200-58-2		Thianthrenium, 5-phenyl-, (OC-6-11)-hexafluoroantimonate(1-)
101200-60-6		Sulfonium, phenylbis[4-(phenylthio)phenyl]-, (OC-6-11)-hexafluoroantimonate(1-)
101200-61-7		Sulfonium, diphenyl[4-[[4-(phenylthio)phenyl]thio]phenyl]-, (OC-6-11)-hexafluoroantimonate(1-)
1012084-56-8		2-Methylpyridine-3-boronic acid, pinacol ester
101227-27-4		Sulfonium, diphenyl[4-(phenylthio)phenyl]-, monochloro derivative, (OC-6-11)-hexafluoroantimonate(1-)
101239-20-7		Nickel dibutyldithiocarbamate
10124-27-3		Aluminum chloride, hydrate
10124-29-5	硫酸のアルミニウム塩	Sulfuric acid, aluminum salt
10124-36-4	硫酸カドミウム	Sulfuric acid, cadmium salt (1:1)
10124-43-3	硫酸コバルト	Cobalt sulfate
10124-44-4	硫酸の銅塩	Sulphuric acid, copper salt
10124-48-8	アミノ塩化第二水銀	Mercury amide chloride (Hg(NH2)Cl)
10124-50-2	亜ヒ酸カリウム	Arsenious acid (H3AsO3), potassium salt (1:?)
10124-54-6	リン酸マンガン	Manganese phosphates
10124-55-7	硫酸マンガン	Manganese sulphate
10125-13-0	二塩化銅二水和物	Copper(2+) chloride dihydrate
101251-09-6		Boronic acid, B-[4-(acetylamino)phenyl]-
10127-02-3		N,N,N',N'-Tetramethylacridine-3,6-diamine monohydrochloride, compound with zinc dichloride
10127-05-6	アシッド エロー-５４	C.I. Acid Yellow 54
10127-06-7	ダイレクト ブラウン-１００	Cuprate(3-), [7-[[4-[[4-[[4-[[2,4-dihydroxy-5-[(2-hydroxy-5-sulfophenyl)azo]phenyl]azo]benzoyl]amino]-2-methylphenyl]azo]-2-methylphenyl]azo]-1,3-naphthalenedisulfonato(5-)]-, trisodium
10127-27-2	アシッド　オレンジ-７４	Chromate(1-), [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxy-5-nitrobenzenesulfonato(3-)]hydroxy-, sodium
10127-28-3	ソルベント　オレンジ-６	Benzenesulfonic acid, 5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxy-, chromium complex
1012881-41-2		(S,S)-(+)-N,N'-Bis(3,5-DI-tert-butylsalicylidene)-1,2-cyclohexanediamino-cobalt(II)
101294-99-9		Thianthrenium, chloro-5-phenyl-, (OC-6-11)-hexafluoroantimonate(1-)
101319-72-6		Diphenylarsenic tributyltin
101319-94-2		Diphenylphosphane tributyltin
101324-33-8		Strychnine
1013326-60-7		Europium vanadium yttrium oxide phosphate
101356-94-9		Barium oxide (BaO), solid solution with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, cerium and manganese-doped
101356-95-0		Barium oxide (BaO), solid solution with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, cerium and terbium-doped
101356-96-1		Barium oxide (BaO), solid solution with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, copper-doped
101356-97-2		Barium oxide (BaO), solid solution with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, europium-doped
101356-98-3		Barium oxide (BaO), solid solution with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, tin-doped
101356-99-4	酸化カルシウムと酸化チタン混合物の固溶体中の酸化カドミウム，プラセオジムドープ塗料	Cadmium oxide (CdO), solid solution with calcium oxide and titanium oxide (TiO2), praseodymium-doped
101357-00-0	亜硫酸カドミウム、亜セレン酸亜鉛、亜硫酸亜鉛混合物の固溶体中の亜セレン酸カドミウムアルミニウムと銅ドープ塗料	Cadmium selenide (CdSe), solid solution with cadmium sulfide, zinc selenide and zinc sulfide, aluminum and copper-doped
101357-01-1	亜硫酸カドミウム、亜セレン酸亜鉛、亜硫酸亜鉛混合物の固溶体中の亜セレン酸カドミウム銅とマンガンドープ塗料	Cadmium selenide (CdSe), solid solution with cadmium sulfide, zinc selenide and zinc sulfide, copper and manganese-doped
101357-02-2	亜硫酸カドミウム、亜セレン酸亜鉛、亜硫酸亜鉛混合物固溶体中の亜セレン酸カドミウムユーロピウムドープ塗料	Cadmium selenide (CdSe), solid solution with cadmium sulfide, zinc selenide and zinc sulfide, europium-doped
101357-03-3	亜硫酸カドミウム、亜セレン酸亜鉛、亜硫酸亜鉛混合物の固溶体中の亜セレン酸カドミウム金とマンガンドープ塗料	Cadmium selenide (CdSe), solid solution with cadmium sulfide, zinc selenide and zinc sulfide, gold and manganese-doped
101357-04-4	亜硫酸カドミウム、亜セレン酸亜鉛、亜硫酸亜鉛混合物の固溶体中の亜セレン酸カドミウムマンガンと銀ドープ塗料	Cadmium selenide (CdSe), solid solution with cadmium sulfide, zinc selenide and zinc sulfide, manganese and silver-doped
101357-05-5		Calcium oxide (CaO), solid solution with silica, strontium oxide and zinc oxide, cerium and manganese-doped
101357-06-6		Calcium oxide (CaO), solid solution with silica, strontium oxide and zinc oxide, cerium and terbium-doped
101357-08-8		Carbonic acid, manganese(2+) salt (1:1), solid solution with aluminum oxide and cerium oxide (CeO2), chromium-doped
101357-13-5		Germanium oxide (GeO2), solid solution with magnesium fluoride and magnesium oxide, manganese-doped
101357-29-3		Silicic acid, aluminum silver salt, sulfurized
101357-30-6	硫化処理されたケイ酸のナトリウム・アルミニウム塩	Silicic acid, aluminum sodium salt, sulfurized
101359-30-2	ホウ化クロム	Chromium boride (Cr3B)
10136-69-3		Bis(2-oxopyrrolidin-1-yl)mercury
101362-28-1		DL-Alanine, N-(2,6-dimethylphenyl)-N-(methoxyacetyl)-, methyl ester, mixture with (T-4)-bis(dimethylcarbamodithioato-S,S')zinc, [[1,2-ethanediylbis[carbamodithioato]](2-)]manganese and [[1,2-ethanediylbis[carbamodithioato]](2-)]zinc
10137-74-3	塩素酸カルシウム	Calcium chlorate
101377-53-1		Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivatives, potassium sodium salts
10138-94-0		Uranate(2-), bis(acetato-O)dioxo-, zinc (1:1)
10139-47-6	ヨウ化亜鉛	Zinc iodide (ZnI2)
10139-54-5		Decanoic acid, cobalt salt (1:?)
10139-57-8		Manganese decanoate
101408-30-4		Mixture of compounds from (dodecakis(p-tolylthio)phthalocyaninato)copper(II) to (hexadecakis(p-tolylthio)phthalocyaninato)copper(II)
10141-00-1	硫酸カリウムクロム（ＩＩＩ）	Sulfuric acid, chromium(3+) potassium salt (2:1:1)
10141-05-6	硝酸コバルト(2+)	Nitric acid, cobalt(2+) salt
101419-68-5		Lead, compound with rubidium (9:4)
10142-77-5		C.I. Pigment Red 117
1014743-76-0		Chlorine oxide (ClO2)
1015-53-8		Stannane, trimethyl(pentafluorophenyl)-
101500-43-0		Phosphoric acid, calcium salt (1:1), solid solution with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, antimony and manganese-doped
101519-50-0		Cuprate(4-), [2-[[[[3-[[4-[(2-chloro-5-sulfophenyl)amino]-1,6-dihydro-6-oxo-1,3,5-triazin-2-yl]amino]-2-(hydroxy-.kappa.O)-5-sulfophenyl]azo-.kappa.N2]phenylmethyl]azo-.kappa.N1]-4-sulfobenzoato(6-)-.kappa.O]-, trisodium hydrogen
101519-68-0		Antimony, compound with palladium (3:5)
101540-04-9		Biguanide, 1-benzyl-, copper complex, sulfate
101540-06-1		Biguanide, 1-methyl-, copper complex, sulfate, trihydrate
101540-07-2		Biguanide, 1-phenethyl-, copper complex, sulfate
101607-36-7	2-{6-{4-[3-アセチルアミノ-4-(4,8-ジスルホ-2-ナフチルアゾ)アニリノ]-6-クロロ-1,3,5-トリアジン-2-イルアミノ}-1-ヒドロキシ-3-スルホ-2-ナフチルアゾ}安息香酸の1:2型クロム(III)錯塩の七ナトリウム塩	Chromate(7-), bis[2-[[6-[[4-[[3-(acetylamino)-4-[(4,8-disulfo-2-naphthalenyl)azo]phenyl]amino]-6-chloro-1,3,5-triazin-2-yl]amino]-1-hydroxy-3-sulfo-2-naphthalenyl]azo]benzoate(5-)]-, heptasodium
10161-84-9	エチルホスホノセレノ酸=Se-[2-(ジエチルアミノ)エチル]=O-エチル	Phosphonoselenoic acid, ethyl-, Se-[2-(diethylamino)ethyl] O-ethyl ester
10163-13-0		Cadmium(2+);7-hydroxy-2-(3-hydroxy-4-oxidophenyl)-4-oxo-3-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-5-olate
1016316-60-1		Formic acid
10164-64-4	トリス［（１-アミノプロパン-２-イル）オキシ］ボラン	Tris(2-amino-1-methylethyl) borate
101654-43-7		3,5-Dinitro-2-hydroxyphenylmercury(II)acetate
10167-67-6	アルミニウム	Boric acid (H3BO3), aluminum salt (1:1)
101672-09-7	アニリンと二クロム酸の化合物（２：１）	Dianilinium dichromate
101672-11-1	エチニル（ビニル）セラン	Ethynyl vinyl selenide
101672-18-8	亜塩素酸水銀(I)	Chlorous acid mercury(I) salt
101678-62-0	銅酸(4-), [2-[[[[2-ヒドロキシ-3-スルホ-5-[[2-(スルホオキシ)エチル]スルホニル]フェニル]アゾ]フェニルメチル]アゾ]-4-スルホベンゾアト(6-)]-, 四ナトリウム	Cuprate(4-), [2-[[[[2-hydroxy-3-sulfo-5-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]phenylmethyl]azo]-4-sulfobenzoato(6-)]-, tetrasodium
101686-74-2		Strychnidin-10-one, compound with 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methylphenol]S,S-dioxide (1:1)
1016982-35-6		Manganese arsenide (MnAs)
1016985-69-5		Aluminate (Al(OH)63-), (OC-6-11)-, magnesium carbonate hydroxide (2:6:1:4)
1017-74-9		Phenyl(2-phenylethynyl)mercury
10170-27-1		Hexacarbonylbis(triphenylphosphine)dicobalt
10170-68-0		Chromium(III) chloride tetrahydrofuran complex (1:3)
10170-69-1	デカカルボニルジマンガン	Decacarbonyldimanganese
10170-78-2		Cobalt, bis(2,4-pentanedithionato-S,S')-
101701-14-8		Nitric acid, aluminum salt, decahydrate
101701-80-8		Isophorone diisocyanate
101702-28-7		Cuprate(4-), [2-[[[[2-hydroxy-3-sulfo-5-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]phenylmethyl]azo]-5-sulfobenzoato(6-)]-, tetrasodium
101707-17-9		Aluminum chloride hydroxide
101747-77-7		Phosphorodithioic acid, mixed O,O-bis(isobutyl and isopropyl and pentyl) esters, zinc salts
10175-28-7		Dichloromethyl(phenyl)mercury
10175-95-8		Phosphonic acid, [[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]-, monobutyl ester, zinc salt (2:1)
1017686-87-1		Octoxynol 9
10177-50-1		Triphenylplumbylformonitrile
101794-79-0		Flue dust, antimony-molybdenum-containing, acrylonitrile manufacture waste catalysis incineration
101802-54-4		Phenol, 2,3,4,5,6-pentachloro-
101830-33-5		Chloro[3-(diethylboranyl)pent-2-en-2-yl]dimethylstannane
101836-84-4		bis(2,4,6-trimethylphenyl)arsenic,dichlorogallium
101836-91-3		Ammonium [2,4-dihydro-4-[(2-hydroxy-5-nitrophenyl)azo]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)][1-[(2-hydroxy-5-nitrophenyl)azo]-2-naphtholato(2-)]chromate(1-)
101860-05-3		Bis[(trimethylsilyl)methyl]arsane
101880-98-2		TRIS(BUTYLSULFANYL)(PHENYL)STANNANE
1018807-91-4		Chlorine oxide (ClO2)
1018852-64-6		Gallium arsenide
1018900-84-9		Sodium dichromate
10190-55-3	モリブデン酸鉛	Lead molybdate
101912-89-4		Strychnidin-10-one, compound with 4,4'-(3H-2,1-benzoxathiol-3-yldene)bis[2,6-dibromo-3-methylphenol]S,S-dioxide (2:1)
101912-97-4		Strychnidin-10-one, compound with 4,4'-(3H-2,1-benzoxathiol-3-yldene)bis[2,6-dibromo-3-methylphenol]S,S-dioxide (3:1)
10192-29-7	塩素酸アンモニウム	Ammonium chlorate
10192-46-8	ホウ酸亜鉛	Diboron trizinc hexaoxide
10192-55-9		Bromo(cyclohexyl)mercury
10192-92-4	ビス(マレイン酸水素)ジブチルスズ	Dibutyltin maleate
1019205-65-2		Bromocyclobutyl-zinc
101947-16-4	3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-ヘプタデカフルオロデシルトリエトキシシラン	3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyltriethoxysilane
10196-18-6	硝酸亜鉛六水和物	Nitric acid, zinc salt, hexahydrate
10196-66-4	テトラデカン酸バリウム	Tetradecanoic acid, barium salt
10196-67-5	テトラデカン酸カドミウム	Tetradecanoic acid, cadmium salt
10196-68-6	p-tert-ブチル安息香酸バリウム	Benzoic acid, 4-(1,1-dimethylethyl)-, barium salt
101963-73-9		Chlorothalonil
101964-01-6		1,2-Benzisothiazolin-3-one
10198-40-0		Cobalt 60
102-06-7	ジフェニルグアニジン	1,3-Diphenylguanidine
102-24-9	２，４，６-トリメトキシボロキシン	Trimethoxyboroxine
102-27-2	N-エチルメタトルイジン	Benzenamine, N-ethyl-3-methyl-
102-67-0	トリプロピルアルミニウム	Tripropyl aluminum
102-82-9	トリブチルアミン	Tributylamine
102-98-7	ホウ酸フェニル水銀	Dihydrogen [orthoborato(3-)-O]phenylmercurate(2-)
102-99-8		3-(Acetoxymercuri)pyridine
102029-51-6		Adenosine-5'-tetra phosphate barium salt
10203-28-8	2-ドデカノール	Dodecan-2-ol
10203-30-2	3-ドデカノール	3-Dodecanol
10203-32-4	ドデカン-4-オール	Dodecan-4-ol
10203-33-5	ドデカン-5-オール	Dodecan-5-ol
10203-52-8		Stannane, diethyldiphenyl-
102040-01-7		Carbendazim
102047-23-4		Phosphoric acid, calcium salt (1:1), solid solution with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, cerium manganese and terbium-doped
102047-24-5		Phosphoric acid, calcium salt (1:1), solid solution with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, europium and manganese-doped
102047-25-6		Phosphoric acid, calcium salt (1:1), solid solution with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, lead and manganese-doped
102047-26-7		Phosphoric acid, calcium salt (1:1), solid solution with calcium chloride, calcium fluoride, calcium oxide, phosphorus oxide (P2O5) and strontium oxide, manganese and tin-doped
1020537-36-3		Boron, trifluoro[1-(methoxy-.kappa.O)-2-methoxyethane]-, (T-4)-
102055-05-0	ヒ化ガリウム	Gallium arsenide (Ga2As)
102089-31-6		Ammonium fluoride
102095-26-1		1-Hexanamide, 2-ethyl-N-(2-ethylhexyl)-
1021-22-3		Stannane, iodo(1-methylethyl)diphenyl-
10210-64-7	ビスアセチルアセトナトベリリウム（ＩＩ）	Bis(pentane-2,4-dionato-O,O')beryllium
10210-68-1	コバルト カルボニル	Dicobalt octacarbonyl
102110-17-8		Aluminum oxide (Al2O3), solid solution with barium oxide and magnesium oxide, europium-doped
102110-18-9		Aluminum oxide (Al2O3), solid solution with barium oxide, calcium oxide, cerium oxide and strontium oxide, dysprosium and terbium-doped
102110-21-4	ヒ酸マグネシウム塩、マンガンドープ塗料	Arsenic acid (H3AsO4), magnesium salt, manganese-doped
102110-22-5		Barium oxide (BaO), solid solution with calcium oxide, strontium oxide and tungsten oxide (WO3), cerium and terbium-doped
102110-23-6		Barium oxide (BaO), solid solution with calcium oxide, strontium oxide and tungsten oxide (WO3), europium-doped
102110-24-7		Barium oxide (BaO), solid solution with calcium oxide, strontium oxide and tungsten oxide (WO3), lead-doped
102110-25-8		Barium oxide (BaO), solid solution with calcium oxide, strontium oxide and tungsten oxide (WO3), samarium-doped
102110-26-9		Boric acid (H3BO3), solid solution with barium oxide, calcium oxide and strontium oxide, lead and manganese-doped
102110-27-0		Boric acid (H3BO3), solid solution with cerium oxide (CeO2), lanthanum oxide (La2O3) and strontium oxide, manganese-doped
102110-30-5	酸化マグネシウム、酸化タングステン、酸化亜鉛混合物の固溶体中の酸化カドミウムプラセオジムドープ塗料	Cadmium oxide (CdO), solid solution with magnesium oxide, tungsten oxide (WO3) and zinc oxide
102110-31-6		Calcium fluoride (CaF2), manganese-doped
102110-32-7		Magnesium zinc fluoride, manganese-doped
102110-33-8		Phosphoric acid, zinc salt (2:3), manganese-doped
102110-36-1	ケイ酸カルシウム塩、鉛とマンガンドープ塗料	Silicic acid, calcium salt, lead and manganese-doped
102110-38-3		Silicic acid, zinc salt, titanium-doped
102110-39-4		Antimony ores, concentrates, leached
102110-40-7		Antimony ores, concentrates, roasted
102110-42-9		Copper ores, concentrates, leached
102110-44-1		Fumes, antimony ore concentration
102110-46-3		Fumes, zinc ore concentration
102110-48-5		Lead ores, concentrates, leached
102110-49-6	銅、鉄、鉛マット（かわ）の残渣の非水溶性亜硫酸化合物	Residues, copper-iron-lead-nickel matte, sulfuric acid-insoluble
102110-50-9		Residues, precious metal refining cementation
102110-56-5		Silver ores, concentrates, leached
102110-57-6		Silver ores, concentrates, roasted
102110-58-7		Slags, copper smelting
102110-60-1		Slimes and Sludges, battery scrap, antimony- and lead-rich
102110-61-2		Slimes and Sludges, copper concentrate roasting off gas scrubbing, lead-mercury-selenium-containing
102110-62-3		Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-containing
102110-65-6		Tin ores, concentrates, leached
102110-66-7		Tin ores, concentrates, roasted
102110-69-0		Waste solids, foundry sand, lost wax process iron and steel casting
102110-70-3		Zinc ores, concentrates, leached
102110-71-4		Aluminum oxide (Al2O3), solid solution with iron oxide (Fe2O3)
